原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
茶渣,无,明确可追溯,优,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.023026350464351,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.387649089200021,5,5,5,8
中药残余废弃物,严重,来源不明,良,,,0,1,高,中,材料主线,茶渣,优/良,5.945307562886449,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,0.1599036585719733,5,5,5,8
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.605486423312693,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.9385998745558615,5,5,8,8
中药残余废弃物,严重,明确可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.2946655353170495,5,5,5,8
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.084000268193166,5,5,5,8
花生壳/板栗壳,轻度,明确可追溯,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.374808934649913,5,5,5,8
茶渣,无,明确可追溯,优,否,,1,1,中,高,食品支线,茶渣,优,6.973605805201602,5,5,2,5
花生壳/板栗壳,轻度,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.423966085762614,5,5,8,5
花生壳/板栗壳,轻度,来源不明,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.302519972863431,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,否,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.809386881802592,8,8,8,5
茶渣,轻度,来源不明,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.520026842902322,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.3574311734176003,5,5,5,8
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.386568308498056,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.623080256864055,8,8,8,5
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.276747638694866,5,5,8,8
花生壳/板栗壳,无,基本可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.85396071509092,5,5,5,8
中药残余废弃物,轻度,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.0112045546596455,5,5,8,8
茶渣,严重,基本可追溯,优,否,,1,1,高,中,材料主线,茶渣,优/良,10.112169257587729,5,5,5,8
茶渣,轻度,来源不明,差,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.237954947030167,8,8,8,5
中药残余废弃物,无,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.9549460216999925,5,5,5,8
中药残余废弃物,严重,明确可追溯,差,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.687844770934008,5,5,5,8
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.596662388378439,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.5703918715826712,5,5,5,8
中药残余废弃物,严重,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.425356571567105,5,5,8,8
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.558587092239092,5,5,5,5
花生壳/板栗壳,严重,来源不明,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.197444980548784,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.628904154925841,8,8,8,5
中药残余废弃物,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.403611697186808,5,5,8,5
中药残余废弃物,无,明确可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.113908093965785,5,5,8,5
豆制品/粮食发酵副产物,无,来源不明,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.458775890437797,5,5,8,8
花生壳/板栗壳,严重,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.14763410073842298,5,5,2,5
中药残余废弃物,轻度,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.693677506391911,5,5,8,5
